schoolId,prefectureId,year,prize,last,representative
3858,45,2017,金賞,都道府県,False
3975,45,2017,銀賞,都道府県,False
567,45,2017,銀賞,都道府県,False
848,45,2017,銀賞,支部,False
241,44,2017,,都道府県,False
3272,44,2017,,都道府県,False
4680,44,2017,,都道府県,False
4831,44,2017,,都道府県,False
92,44,2017,,都道府県,False
4632,44,2017,,都道府県,False
766,44,2017,,都道府県,False
73,44,2017,,都道府県,False
3666,44,2017,,都道府県,False
1785,44,2017,,都道府県,False
5115,44,2017,,都道府県,False
684,44,2017,銀賞,支部,False
4485,44,2017,,都道府県,False
3551,44,2017,,都道府県,False
4756,44,2017,,都道府県,False
901,44,2017,,都道府県,False
1139,44,2017,,都道府県,False
3619,44,2017,,都道府県,False
1298,44,2017,,都道府県,False
3588,44,2017,,都道府県,False
3759,44,2017,金賞,支部,False
3741,44,2017,,都道府県,False
1748,44,2017,,都道府県,False
3339,44,2017,,都道府県,False
3355,44,2017,,都道府県,False
1126,44,2017,,都道府県,False
977,44,2017,,都道府県,False
5179,44,2017,,都道府県,False
571,44,2017,銀賞,支部,False
3191,44,2017,,都道府県,False
1774,44,2017,,都道府県,False
2571,44,2017,,都道府県,False
3920,44,2017,,都道府県,False
350,44,2017,,都道府県,False
2597,44,2017,,都道府県,False
617,43,2017,銀賞,都道府県,False
5157,43,2017,銀賞,都道府県,False
91,43,2017,銀賞,都道府県,False
2751,43,2017,金賞,都道府県,False
2812,43,2017,金賞,支部,False
4036,43,2017,銀賞,都道府県,False
4339,43,2017,銀賞,都道府県,False
1847,43,2017,銀賞,都道府県,False
2686,43,2017,銀賞,都道府県,False
5182,43,2017,銀賞,都道府県,False
4471,43,2017,銀賞,都道府県,False
2979,43,2017,金賞,都道府県,False
1093,43,2017,金賞,支部,False
4676,43,2017,銀賞,都道府県,False
1725,43,2017,金賞,支部,False
402,43,2017,銀賞,都道府県,False
621,43,2017,銀賞,都道府県,False
2376,43,2017,金賞,都道府県,False
4462,43,2017,銀賞,都道府県,False
1204,43,2017,銀賞,都道府県,False
4834,43,2017,銀賞,都道府県,False
2555,43,2017,銀賞,都道府県,False
3960,43,2017,金賞,都道府県,False
4444,43,2017,銅賞,都道府県,False
4424,43,2017,銀賞,都道府県,False
2314,43,2017,銀賞,都道府県,False
1333,43,2017,金賞,都道府県,False
4733,43,2017,金賞,都道府県,False
2209,43,2017,銀賞,都道府県,False
2061,43,2017,銀賞,都道府県,False
2679,43,2017,銀賞,都道府県,False
2926,43,2017,銀賞,都道府県,False
4131,43,2017,銀賞,都道府県,False
3768,43,2017,金賞,都道府県,False
4489,43,2017,銀賞,都道府県,False
802,43,2017,銀賞,都道府県,False
983,42,2017,金賞,都道府県,True
2259,42,2017,金賞,都道府県,True
3074,42,2017,銅賞,都道府県,False
1625,42,2017,銅賞,都道府県,False
1125,42,2017,銀賞,都道府県,False
2418,42,2017,銀賞,都道府県,False
4854,42,2017,銅賞,都道府県,False
2650,42,2017,銀賞,都道府県,False
2307,42,2017,銀賞,都道府県,False
3529,42,2017,銅賞,都道府県,False
4730,42,2017,金賞,都道府県,True
415,42,2017,銀賞,都道府県,False
4310,42,2017,銅賞,都道府県,False
2082,42,2017,銅賞,都道府県,False
370,42,2017,金賞,都道府県,True
5180,42,2017,金賞,都道府県,True
4044,42,2017,銅賞,都道府県,False
322,42,2017,銅賞,都道府県,False
3939,42,2017,金賞,都道府県,True
181,42,2017,金賞,都道府県,True
5022,42,2017,金賞,支部,False
2621,42,2017,金賞,都道府県,False
1949,42,2017,銅賞,都道府県,False
570,42,2017,銀賞,都道府県,False
1161,42,2017,金賞,都道府県,True
112,42,2017,銅賞,都道府県,False
3671,42,2017,銅賞,都道府県,False
171,42,2017,銅賞,都道府県,False
4212,42,2017,銅賞,都道府県,False
3645,42,2017,銀賞,都道府県,False
3394,41,2017,銀賞,都道府県,False
1796,41,2017,銀賞,都道府県,False
5210,41,2017,銅賞,都道府県,False
2715,41,2017,銀賞,支部,False
4029,41,2017,銀賞,都道府県,False
3681,41,2017,銀賞,都道府県,False
301,41,2017,銀賞,都道府県,False
4978,41,2017,銀賞,都道府県,False
3436,41,2017,金賞,都道府県,False
1129,41,2017,銀賞,都道府県,False
2062,41,2017,金賞,都道府県,False
4766,41,2017,銀賞,都道府県,False
504,41,2017,銀賞,都道府県,False
668,41,2017,銅賞,都道府県,False
2902,41,2017,銀賞,都道府県,False
3706,41,2017,銅賞,都道府県,False
4723,41,2017,銀賞,都道府県,False
4741,41,2017,金賞,都道府県,False
3613,41,2017,銀賞,都道府県,False
494,41,2017,金賞,支部,False
1311,41,2017,銅賞,都道府県,False
1446,41,2017,銀賞,都道府県,False
3011,41,2017,銀賞,都道府県,False
514,41,2017,金賞,都道府県,False
2793,41,2017,銀賞,都道府県,False
4084,41,2017,銅賞,都道府県,False
3453,41,2017,銅賞,都道府県,False
10,41,2017,銅賞,都道府県,False
1245,41,2017,銅賞,都道府県,False
5213,41,2017,金賞,都道府県,False
3725,41,2017,銀賞,都道府県,False
463,17,2017,銀賞,都道府県,False
3516,41,2017,銅賞,都道府県,False
3280,41,2017,金賞,都道府県,False
5004,41,2017,金賞,都道府県,False
3167,41,2017,銀賞,都道府県,False
4950,41,2017,金賞,支部,False
2372,41,2017,銀賞,都道府県,False
5158,41,2017,銅賞,都道府県,False
648,41,2017,金賞,都道府県,False
1413,41,2017,銅賞,都道府県,False
4914,41,2017,銅賞,都道府県,False
228,41,2017,銅賞,都道府県,False
5206,41,2017,銀賞,支部,False
910,41,2017,銀賞,都道府県,False
4495,41,2017,銀賞,都道府県,False
3833,41,2017,銅賞,都道府県,False
3656,41,2017,銀賞,都道府県,False
2704,40,2017,金賞,支部,False
3037,40,2017,銅賞,都道府県,False
4881,40,2017,銅賞,都道府県,False
1345,40,2017,銅賞,都道府県,False
3195,40,2017,銀賞,都道府県,False
3451,40,2017,銅賞,都道府県,False
4649,40,2017,金賞,都道府県,False
2637,40,2017,銅賞,都道府県,False
3544,40,2017,金賞,都道府県,False
3503,40,2017,銀賞,都道府県,False
3212,40,2017,金賞,都道府県,False
2861,40,2017,銅賞,都道府県,False
3935,40,2017,銅賞,都道府県,False
3738,40,2017,金賞,支部,False
999,40,2017,銀賞,都道府県,False
2951,40,2017,銀賞,都道府県,False
4644,40,2017,銀賞,都道府県,False
2098,40,2017,銅賞,都道府県,False
1193,40,2017,銀賞,都道府県,False
1330,40,2017,銀賞,都道府県,False
4548,40,2017,金賞,都道府県,False
2338,39,2017,銀賞,都道府県,False
4867,39,2017,銀賞,支部,False
4336,39,2017,金賞,支部,False
399,39,2017,銅賞,都道府県,False
2430,39,2017,金賞,支部,False
5192,39,2017,銀賞,支部,False
4755,39,2017,銀賞,都道府県,False
3561,39,2017,金賞,都道府県,False
4561,39,2017,金賞,都道府県,False
1222,39,2017,銀賞,都道府県,False
