fullName,nationalBest,prefecture,regionalBest,shortName,year
鳥取城北高等学校,64,鳥取,1,鳥取城北,2013
鳥取県立八頭高等学校,,鳥取,2,八頭,2013
鳥取県立倉吉東高等学校,,鳥取,4,倉吉東,2013
鳥取県立鳥取商業高等学校,,鳥取,4,鳥取商,2013
鳥取県立鳥取東高等学校,,鳥取,8,鳥取東,2013
倉吉北高等学校,,鳥取,8,倉吉北,2013
米子松蔭高等学校,,鳥取,8,米子松蔭,2013
鳥取県立鳥取西高等学校,,鳥取,8,鳥取西,2013
開星高等学校,64,島根,1,開星,2017
益田東高等学校,,島根,2,益田東,2017
島根県立大社高等学校,,島根,4,大社,2017
島根県立浜田高等学校,,島根,4,浜田,2017
立正大学淞南高等学校,,島根,8,立正大淞南,2017
石見智翠館高等学校,,島根,8,石見智翠館,2017
岩手県立大東高等学校,,島根,8,大東,2017
島根県立隠岐高等学校,,島根,8,隠岐,2017
