fullName,nationalBest,prefecture,regionalBest,shortName,year
常葉大学附属橘高等学校,,静岡,8,常葉橘,2017
常葉大学附属菊川高等学校,,静岡,8,常葉菊川,2017
県立掛川東高等学校,,静岡,8,掛川東,2017
加藤学園高等学校,,静岡,8,加藤学園,2017
常葉大学附属菊川高等学校,32,静岡,1,常葉菊川,2016
県立袋井高等学校,,静岡,2,袋井,2016
常葉大学附属橘高等学校,,静岡,4,常葉橘,2016
県立浜松商業高等学校,,静岡,4,浜松商,2016
静清高等学校,,静岡,8,静清,2016
東海大学付属静岡翔洋高等学校,,静岡,8,東海大静岡翔洋,2016
浜松学院高等学校,,静岡,8,浜松学院,2016
日本大学三島高等学校,,静岡,8,日大三島,2016
県立静岡高等学校,64,静岡,1,静岡,2015
飛龍高等学校,,静岡,2,飛龍,2015
県立静岡商業高等学校,,静岡,4,静岡商,2015
県立磐田南高等学校,,静岡,4,磐田南,2015
県立三島南高等学校,,静岡,8,三島南,2015
常葉大学附属橘高等学校,,静岡,8,常葉橘,2015
浜松市立高等学校,,静岡,8,浜松市立,2015
知徳高等学校,,静岡,8,知徳,2015
県立静岡高等学校,64,静岡,1,静岡,2014
県立掛川西高等学校,,静岡,2,掛川西,2014
常葉大学附属橘高等学校,,静岡,4,常葉橘,2014
日本大学三島高等学校,,静岡,4,日大三島,2014
県立掛川東高等学校,,静岡,8,掛川東,2014
県立浜松工業高等学校,,静岡,8,浜松工,2014
県立島田商業高等学校,,静岡,8,島田商,2014
東海大一,,静岡,8,東海大翔洋,2014
常葉大学附属菊川高等学校,16,静岡,1,常葉菊川,2013
,,静岡,2,菊川南陵,2013
東海大一,,静岡,4,東海大翔洋,2013
富士市立高等学校,,静岡,4,富士市立,2013
県立横須賀高等学校,,静岡,8,横須賀,2013
聖隷クリストファー高等学校,,静岡,8,聖隷クリストファー,2013
三島,,静岡,8,三島,2013
県立静岡高等学校,,静岡,8,静岡,2013
中京大学附属中京高等学校,64,愛知,1,中京大中京,2017
栄徳高等学校,,愛知,2,栄徳,2017
豊橋中央高等学校,,愛知,4,豊橋中央,2017
東邦高等学校,,愛知,4,東邦,2017
県立豊田工科高等学校,,愛知,8,豊田工科,2017
至学館高等学校,,愛知,8,至学館,2017
愛知工業大学名電高等学校,,愛知,8,愛工大名電,2017
愛知高等学校,,愛知,8,愛知,2017
東邦高等学校,16,愛知,1,東邦,2016
愛知工業大学名電高等学校,,愛知,2,愛工大名電,2016
栄徳高等学校,,愛知,4,栄徳,2016
県立西尾東高等学校,,愛知,4,西尾東,2016
豊橋中央高等学校,,愛知,8,豊橋中央,2016
享栄高等学校,,愛知,8,享栄,2016
愛知産業大学三河高等学校,,愛知,8,愛知産大三河,2016
愛知県立大府高等学校,,愛知,8,大府,2016
中京大学附属中京高等学校,16,愛知,1,中京大中京,2015
愛知工業大学名電高等学校,,愛知,2,愛工大名電,2015
東邦高等学校,,愛知,4,東邦,2015
豊川高等学校,,愛知,4,豊川,2015
愛知産業大学三河高等学校,,愛知,8,愛知産大三河,2015
誉高等学校,,愛知,8,誉,2015
愛知県立刈谷高等学校,,愛知,8,刈谷,2015
愛知産業大学工業高等学校,,愛知,8,愛知産大工,2015
東邦高等学校,32,愛知,1,東邦,2014
栄徳高等学校,,愛知,2,栄徳,2014
県立豊田西高等学校,,愛知,4,豊田西,2014
中京大学附属中京高等学校,,愛知,4,中京大中京,2014
愛知県立大府高等学校,,愛知,8,大府,2014
春日丘高等学校,,愛知,8,春日丘,2014
愛知県立高蔵寺高等学校,,愛知,8,高蔵寺,2014
桜丘高等学校,,愛知,8,桜丘,2014
愛知工業大学名電高等学校,64,愛知,1,愛工大名電,2013
愛知黎明高等学校,,愛知,2,愛知黎明,2013
中部大学第一高等学校,,愛知,4,中部大一,2013
愛知産業大学三河高等学校,,愛知,4,愛知産大三河,2013
至学館高等学校,,愛知,8,至学館,2013
県立丹羽高等学校,,愛知,8,丹羽,2013
享栄高等学校,,愛知,8,享栄,2013
春日丘高等学校,,愛知,8,春日丘,2013
津田学園高等学校,32,三重,1,津田学園,2017
三重高等学校,,三重,2,三重,2017
三重県立菰野高等学校,,三重,4,菰野,2017
三重県立津商業高等学校,,三重,4,津商,2017
海星高等学校,,三重,8,海星,2017
近畿大学工業高等専門学校,,三重,8,近大高専,2017
三重県立四日市南高等学校,,三重,8,四日市南,2017
三重県立いなべ総合学園高等学校,,三重,8,いなべ総合,2017
三重県立いなべ総合学園高等学校,16,三重,1,いなべ総合,2016
津田学園高等学校,,三重,2,津田学園,2016
三重高等学校,,三重,4,三重,2016
海星高等学校,,三重,4,海星,2016
三重県立桑名工業高等学校,,三重,8,桑名工,2016
暁高等学校,,三重,8,暁,2016
三重県立津商業高等学校,,三重,8,津商,2016
三重県立伊勢工業高等学校,,三重,8,伊勢工,2016
三重県立津商業高等学校,32,三重,1,津商,2015
三重県立いなべ総合学園高等学校,,三重,2,いなべ総合,2015
海星高等学校,,三重,4,海星,2015
三重県立四日市工業高等学校,,三重,4,四日市工,2015
津田学園高等学校,,三重,8,津田学園,2015
三重県立宇治山田商業高等学校,,三重,8,宇治山田商,2015
三重県立松阪商業高等学校,,三重,8,松阪商,2015
三重県立津西高等学校,,三重,8,津西,2015
三重高等学校,2,三重,1,三重,2014
三重県立菰野高等学校,,三重,2,菰野,2014
三重県立稲生高等学校,,三重,4,稲生,2014
三重県立いなべ総合学園高等学校,,三重,4,いなべ総合,2014
海星高等学校,,三重,8,海星,2014
近畿大学工業高等専門学校,,三重,8,近大高専,2014
三重県立四日市工業高等学校,,三重,8,四日市工,2014
三重県立松阪高等学校,,三重,8,松阪,2014
三重高等学校,32,三重,1,三重,2013
三重県立菰野高等学校,,三重,2,菰野,2013
三重県立宇治山田商業高等学校,,三重,4,宇治山田商,2013
三重県立津商業高等学校,,三重,4,津商,2013
三重県立松阪高等学校,,三重,8,松阪,2013
三重県立稲生高等学校,,三重,8,稲生,2013
三重県立四日市高等学校,,三重,8,四日市,2013
海星高等学校,,三重,8,海星,2013
滋賀県立彦根東高等学校,32,滋賀,1,彦根東,2017
近江高等学校,,滋賀,2,近江,2017
滋賀県立水口高等学校,,滋賀,4,水口,2017
滋賀県立水口東高等学校,,滋賀,4,水口東,2017
滋賀県立野洲高等学校,,滋賀,8,野洲,2017
滋賀県立堅田高等学校,,滋賀,8,堅田,2017
滋賀県立八幡商業高等学校,,滋賀,8,八幡商,2017
滋賀県立長浜北星高等学校,,滋賀,8,長浜北星,2017
近江高等学校,64,滋賀,1,近江,2016
東京都立高島高等学校,,滋賀,2,都立高島,2016
滋賀短期大学附属高等学校,,滋賀,4,滋賀短大附,2016
滋賀学園高等学校,,滋賀,4,滋賀学園,2016
滋賀県立水口高等学校,,滋賀,8,水口,2016
滋賀県立八日市高等学校,,滋賀,8,八日市,2016
滋賀県立伊吹高等学校,,滋賀,8,伊吹,2016
光泉高等学校,,滋賀,8,光泉,2016
比叡山高等学校,64,滋賀,1,比叡山,2015
近江高等学校,,滋賀,2,近江,2015
滋賀県立野洲高等学校,,滋賀,4,野洲,2015
滋賀県立米原高等学校,,滋賀,4,米原,2015
滋賀県立虎姫高等学校,,滋賀,8,虎姫,2015
滋賀県立八幡商業高等学校,,滋賀,8,八幡商,2015
滋賀県立北大津高等学校,,滋賀,8,北大津,2015
滋賀県立八日市南高等学校,,滋賀,8,八日市南,2015
近江高等学校,16,滋賀,1,近江,2014
